Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2012,1,31,6.1,9.5,11.5,14.2,19.5,25.3,30.9,28.9,15.7,8.1,12.4,22.2,32.3,39.4,42.3,49.1,54.4,77.3,92.5,92.4,86.3,79.7,69.7,65.3
2012,2,1,65.6,79.5,87.9,90.2,79.7,62.4,64.9,46.5,26.0,19.6,32.0,47.3,61.7,66.6,74.3,84.8,84.7,78.9,85.7,81.2,80.2,80.8,76.5,70.2
2012,2,2,64.1,63.2,65.1,47.6,45.5,34.7,21.7,9.7,1.1,0.3,0.0,0.0,0.9,4.5,7.8,11.2,17.4,29.5,52.1,62.3,64.5,60.1,58.7,60.5
2012,2,3,67.5,70.5,59.7,59.6,54.5,43.2,32.9,28.0,12.3,6.0,4.7,3.9,4.4,9.6,18.6,23.4,27.5,35.3,38.5,38.7,31.1,21.3,19.7,18.8
2012,2,4,17.2,16.6,29.3,32.5,32.2,33.3,32.6,25.4,14.1,10.2,8.8,9.0,10.3,12.7,13.3,14.6,22.8,35.3,44.8,60.4,66.4,78.2,79.3,80.2
2012,2,5,77.9,77.7,79.4,71.0,64.9,64.2,65.4,65.8,77.4,66.9,62.0,63.1,66.9,70.0,71.1,70.9,60.1,69.6,73.7,71.8,72.4,72.2,73.8,69.8
2012,2,6,68.5,68.1,72.0,70.3,68.6,70.7,72.0,81.0,86.9,81.1,78.6,81.7,83.3,84.2,82.8,80.7,73.0,63.8,61.9,69.2,61.2,66.5,77.2,59.4
2012,2,7,53.6,52.7,49.4,49.8,52.8,47.8,45.3,46.7,49.6,53.8,52.5,49.6,46.3,46.0,51.1,55.0,53.3,50.8,47.7,61.0,57.0,56.1,54.7,46.5
2012,2,8,46.2,53.6,58.8,62.8,63.7,59.2,56.6,55.2,65.4,79.4,87.1,95.5,98.3,99.2,99.6,97.7,93.3,89.0,91.1,92.3,96.2,99.5,99.4,97.1
2012,2,9,73.2,62.2,86.7,93.9,94.3,96.2,94.2,87.2,85.3,75.4,75.3,72.3,71.4,74.9,75.6,66.7,47.5,51.4,58.1,53.4,64.3,64.4,60.0,60.9
2012,2,10,66.0,73.9,70.2,58.4,41.7,44.9,39.5,38.9,56.8,72.9,71.0,66.9,67.5,86.4,95.6,100.0,100.0,97.1,94.3,100.0,100.0,100.0,100.0,98.7
2012,2,11,99.8,100.0,100.0,98.3,99.6,98.4,93.5,86.5,74.7,61.4,33.7,21.1,16.8,12.9,10.1,8.8,9.0,11.7,17.5,25.5,28.0,19.1,14.7,15.1
2012,2,12,15.2,17.6,22.7,31.1,36.4,37.2,34.8,28.1,17.9,13.5,28.5,47.8,53.7,54.8,50.4,50.1,54.0,65.0,71.8,84.2,77.8,68.8,65.7,69.7
2012,2,13,58.2,53.2,48.8,47.2,50.3,56.7,46.2,26.5,24.0,27.4,29.4,25.4,16.1,16.2,14.2,11.0,8.8,10.7,17.6,31.8,41.7,52.3,67.0,54.6
2012,2,14,43.7,35.1,32.9,39.1,36.8,30.7,23.5,21.8,16.0,8.9,5.2,3.9,2.6,1.5,0.5,0.4,0.5,2.2,3.9,8.8,11.5,12.7,13.0,10.6
2012,2,15,4.9,3.4,1.8,0.7,0.6,0.3,1.6,2.0,1.4,1.9,4.9,5.7,6.1,6.8,7.1,8.5,13.8,25.9,41.4,40.1,32.6,25.6,21.6,18.1
2012,2,16,18.2,15.1,12.1,12.3,13.8,13.2,12.0,12.6,14.7,18.0,14.9,13.3,16.9,17.5,23.1,26.5,28.3,25.6,23.7,26.7,26.6,31.0,38.3,34.4
2012,2,17,33.4,47.7,85.6,98.8,96.7,93.6,77.0,79.0,75.7,63.5,51.9,32.9,34.2,27.5,39.2,54.2,46.5,50.2,79.1,75.8,59.8,75.3,78.5,64.2
2012,2,18,64.5,83.6,86.9,83.8,82.7,87.5,76.6,75.2,70.8,77.3,81.5,80.6,84.0,81.6,82.6,73.5,65.2,60.3,52.0,42.0,48.9,67.9,60.8,66.8
2012,2,19,61.4,51.2,38.8,26.7,37.2,46.9,57.2,33.8,20.8,12.9,8.6,3.7,1.8,0.8,0.2,0.0,0.0,0.6,4.5,7.0,7.2,10.0,11.5,16.0
2012,2,20,20.6,30.2,37.6,37.5,43.1,47.4,50.3,36.5,30.0,38.8,60.6,79.0,78.3,78.4,77.6,79.3,69.9,74.4,91.4,97.6,88.4,80.9,82.4,89.1
2012,2,21,92.3,90.6,87.2,86.1,81.0,93.8,95.4,93.7,94.4,87.6,73.8,54.3,36.1,29.0,22.6,19.5,13.2,10.4,11.3,9.3,6.0,1.7,0.6,0.0
2012,2,22,0.1,0.2,0.5,3.0,8.8,10.2,13.6,8.4,4.4,8.0,12.3,15.4,19.1,21.0,25.1,30.6,34.9,60.0,74.0,83.7,84.7,79.5,73.3,61.2
2012,2,23,52.6,50.6,51.0,49.3,49.9,51.1,52.8,44.2,25.0,22.4,24.3,29.6,37.4,43.2,48.1,54.3,51.7,66.3,69.1,67.8,61.3,60.8,62.1,63.1
2012,2,24,64.7,65.4,63.7,62.6,57.3,52.8,49.7,35.3,12.6,9.0,10.7,10.3,9.1,23.0,38.3,40.3,26.0,23.9,16.8,34.0,52.1,42.0,26.4,17.8
