Year,Month,Day,Period,1
2012,1,8,18,0.905613145
2012,1,8,19,1.002852332
2012,1,8,20,1.034484356
2012,1,8,21,1.027455017
2012,1,8,22,1.021597235
2012,1,8,23,0.99347988
2012,1,8,24,0.940759839
2012,1,9,1,0.905613145
2012,1,9,2,0.902098476
2012,1,9,3,0.910299371
2012,1,9,4,0.929044275
2012,1,9,5,0.958333186
2012,1,9,6,1.041513695
2012,1,9,7,1.149296889
2012,1,9,8,1.209046269
2012,1,9,9,1.186786696
2012,1,9,10,1.135238212
2012,1,9,11,1.111807083
2012,1,9,12,1.054400816
2012,1,9,13,1.007538558
2012,1,9,14,0.975906533
2012,1,9,15,0.945446065
2012,1,9,16,0.930215831
2012,1,9,17,0.952475404
2012,1,9,18,0.980592759
2012,1,9,19,1.079003502
2012,1,9,20,1.101263074
2012,1,9,21,1.091890623
2012,1,9,22,1.071974163
2012,1,9,23,1.005195445
2012,1,9,24,0.939588283
2012,1,10,1,0.889211355
2012,1,10,2,0.883353573
2012,1,10,3,0.889211355
2012,1,10,4,0.907956258
2012,1,10,5,0.941931396
2012,1,10,6,1.025111904
2012,1,10,7,1.149296889
2012,1,10,8,1.218418721
2012,1,10,9,1.173899575
2012,1,10,10,1.130551986
2012,1,10,11,1.101263074
2012,1,10,12,1.056743929
2012,1,10,13,1.011053227
2012,1,10,14,0.960676299
2012,1,10,15,0.9337305
2012,1,10,16,0.920843379
2012,1,10,17,0.926701162
2012,1,10,18,0.981764315
2012,1,10,19,1.093062179
2012,1,10,20,1.112978639
2012,1,10,21,1.112978639
2012,1,10,22,1.08603284
2012,1,10,23,1.035655913
2012,1,10,24,0.970048751
2012,1,11,1,0.911470928
2012,1,11,2,0.911470928
2012,1,11,3,0.918500266
2012,1,11,4,0.945446065
2012,1,11,5,0.985278985
2012,1,11,6,1.066116381
2012,1,11,7,1.187958253
2012,1,11,8,1.255908528
2012,1,11,9,1.209046269
2012,1,11,10,1.153983115
2012,1,11,11,1.112978639
2012,1,11,12,1.052057703
2012,1,11,13,1.007538558
2012,1,11,14,0.966534081
2012,1,11,15,0.938416726
2012,1,11,16,0.9337305
2012,1,11,17,0.944274509
2012,1,11,18,0.972391864
2012,1,11,19,1.067287937
2012,1,11,20,1.076660389
2012,1,11,21,1.068459494
2012,1,11,22,1.040342138
2012,1,11,23,0.988793654
2012,1,11,24,0.923186492
2012,1,12,1,0.885696685
2012,1,12,2,0.883353573
2012,1,12,3,0.891554468
2012,1,12,4,0.914985597
2012,1,12,5,0.948960734
2012,1,12,6,1.035655913
2012,1,12,7,1.164527123
