Year,Month,Day,Period,1
2012,1,8,18,0.934304959
2012,1,8,19,1.009353902
2012,1,8,20,1.05177287
2012,1,8,21,1.062649528
2012,1,8,22,1.065912526
2012,1,8,23,1.028931887
2012,1,8,24,0.99412658
2012,1,9,1,0.972373263
2012,1,9,2,0.962584271
2012,1,9,3,0.966934934
2012,1,9,4,0.984337588
2012,1,9,5,1.006090904
2012,1,9,6,1.065912526
2012,1,9,7,1.138786137
2012,1,9,8,1.173591444
2012,1,9,9,1.133347808
2012,1,9,10,1.102893164
2012,1,9,11,1.076789184
2012,1,9,12,1.047422206
2012,1,9,13,1.015879897
2012,1,9,14,0.985425253
2012,1,9,15,0.951707612
2012,1,9,16,0.929954295
2012,1,9,17,0.950619946
2012,1,9,18,0.9680226
2012,1,9,19,1.044159209
2012,1,9,20,1.080052182
2012,1,9,21,1.10398083
2012,1,9,22,1.088753508
2012,1,9,23,1.039808546
2012,1,9,24,0.978899258
2012,1,10,1,0.978899258
2012,1,10,2,0.9680226
2012,1,10,3,0.972373263
2012,1,10,4,0.989775917
2012,1,10,5,1.012616899
2012,1,10,6,1.07787685
2012,1,10,7,1.158364122
2012,1,10,8,1.189906432
2012,1,10,9,1.131172476
2012,1,10,10,1.107243828
2012,1,10,11,1.081139848
2012,1,10,12,1.045246875
2012,1,10,13,1.006090904
2012,1,10,14,0.98107459
2012,1,10,15,0.950619946
2012,1,10,16,0.92886663
2012,1,10,17,0.939743288
2012,1,10,18,0.979986924
2012,1,10,19,1.065912526
2012,1,10,20,1.108331494
2012,1,10,21,1.137698471
2012,1,10,22,1.112682157
2012,1,10,23,1.060474197
2012,1,10,24,1.000652575
2012,1,11,1,0.996301912
2012,1,11,2,0.988688251
2012,1,11,3,0.99412658
2012,1,11,4,1.011529234
2012,1,11,5,1.028931887
2012,1,11,6,1.094191838
2012,1,11,7,1.176854442
2012,1,11,8,1.20078309
2012,1,11,9,1.137698471
2012,1,11,10,1.108331494
2012,1,11,11,1.078964516
2012,1,11,12,1.044159209
2012,1,11,13,1.009353902
2012,1,11,14,0.984337588
2012,1,11,15,0.959321273
2012,1,11,16,0.947356949
2012,1,11,17,0.959321273
2012,1,11,18,0.993038914
2012,1,11,19,1.061561862
2012,1,11,20,1.093104172
2012,1,11,21,1.112682157
2012,1,11,22,1.089841174
2012,1,11,23,1.047422206
2012,1,11,24,0.991951248
2012,1,12,1,0.961496605
2012,1,12,2,0.953882944
2012,1,12,3,0.963671937
