Year,Month,Day,Period,1
2012,1,8,18,0.825208586
2012,1,8,19,0.904534991
2012,1,8,20,0.91263576
2012,1,8,21,0.890320433
2012,1,8,22,0.850427963
2012,1,8,23,0.786538875
2012,1,8,24,0.712103501
2012,1,9,1,0.659066387
2012,1,9,2,0.635375457
2012,1,9,3,0.629414514
2012,1,9,4,0.635528302
2012,1,9,5,0.683063007
2012,1,9,6,0.774158453
2012,1,9,7,0.904229301
2012,1,9,8,0.951611161
2012,1,9,9,0.93403402
2012,1,9,10,0.958794862
2012,1,9,11,0.965978564
2012,1,9,12,0.955432279
2012,1,9,13,0.941981944
2012,1,9,14,0.925780405
2012,1,9,15,0.913858518
2012,1,9,16,0.913705673
2012,1,9,17,0.908967487
2012,1,9,18,0.959559086
2012,1,9,19,1.040261093
2012,1,9,20,1.026352224
2012,1,9,21,0.972092352
2012,1,9,22,0.910954468
2012,1,9,23,0.809159892
2012,1,9,24,0.724331078
2012,1,10,1,0.657232251
2012,1,10,2,0.626968998
2012,1,10,3,0.613977198
2012,1,10,4,0.616575558
2012,1,10,5,0.656162338
2012,1,10,6,0.762083721
2012,1,10,7,0.907591885
2012,1,10,8,0.945344528
2012,1,10,9,0.934951088
2012,1,10,10,0.946567286
2012,1,10,11,0.953903832
2012,1,10,12,0.947790043
2012,1,10,13,0.927308852
2012,1,10,14,0.914775586
2012,1,10,15,0.890778967
2012,1,10,16,0.89154319
2012,1,10,17,0.896128532
2012,1,10,18,0.953139608
2012,1,10,19,1.027422137
2012,1,10,20,1.022072572
2012,1,10,21,0.984319929
2012,1,10,22,0.924710492
2012,1,10,23,0.832850822
2012,1,10,24,0.753218728
2012,1,11,1,0.703391353
2012,1,11,2,0.676643529
2012,1,11,3,0.672211032
2012,1,11,4,0.675420771
2012,1,11,5,0.717147377
2012,1,11,6,0.826889878
2012,1,11,7,0.981263035
2012,1,11,8,1.00999784
2012,1,11,9,0.978206141
2012,1,11,10,0.974843557
2012,1,11,11,0.984625618
2012,1,11,12,0.96261598
2012,1,11,13,0.927308852
2012,1,11,14,0.917985325
2012,1,11,15,0.901630941
2012,1,11,16,0.909273177
2012,1,11,17,0.922112132
2012,1,11,18,0.967507011
2012,1,11,19,1.034147304
2012,1,11,20,1.013054734
2012,1,11,21,0.972245197
2012,1,11,22,0.905604904
2012,1,11,23,0.80488024
2012,1,11,24,0.71531324
2012,1,12,1,0.640572177
2012,1,12,2,0.611684527
2012,1,12,3,0.602513845
2012,1,12,4,0.604806515
2012,1,12,5,0.642864848
2012,1,12,6,0.749397611
2012,1,12,7,0.896434221
2012,1,12,8,0.933269796
2012,1,12,9,0.929601523
2012,1,12,10,0.953292453
2012,1,12,11,0.971480973
2012,1,12,12,0.970105371
2012,1,12,13,0.955890813
2012,1,12,14,0.958183484
2012,1,12,15,0.945038839
2012,1,12,16,0.95772495
2012,1,12,17,0.961240378
2012,1,12,18,1.009080772
2012,1,12,19,1.076179599
2012,1,12,20,1.07067719
2012,1,12,21,1.026963603
2012,1,12,22,0.955126589
2012,1,12,23,0.862349851
2012,1,12,24,0.776298279
2012,1,13,1,0.735794431
2012,1,13,2,0.700792993
2012,1,13,3,0.68642559
2012,1,13,4,0.693609292
2012,1,13,5,0.729986332
2012,1,13,6,0.837283318
2012,1,13,7,0.974690712
2012,1,13,8,1.012137666
2012,1,13,9,1.004495431
2012,1,13,10,1.021614038
2012,1,13,11,1.043929366
2012,1,13,12,1.04698626
2012,1,13,13,1.015805939
2012,1,13,14,0.999910089
2012,1,13,15,0.988141047
2012,1,13,16,0.98890527
2012,1,13,17,0.995630437
2012,1,13,18,1.035217217
2012,1,13,19,1.098189238
2012,1,13,20,1.074498308
2012,1,13,21,1.028033516
2012,1,13,22,0.979887432
2012,1,13,23,0.905146369
2012,1,13,24,0.818483419
2012,1,14,1,0.711797812
2012,1,14,2,0.676643529
2012,1,14,3,0.653411133
2012,1,14,4,0.647450189
2012,1,14,5,0.656620872
2012,1,14,6,0.685508522
2012,1,14,7,0.738239947
2012,1,14,8,0.812063941
2012,1,14,9,0.855166149
2012,1,14,10,0.896281376
2012,1,14,11,0.898726892
2012,1,14,12,0.885429402
2012,1,14,13,0.846454001
2012,1,14,14,0.815732214
2012,1,14,15,0.784704738
