Year,Month,Day,Period,1
2012,1,8,18,0.895954825
2012,1,8,19,0.98918233
2012,1,8,20,1.012949486
2012,1,8,21,1.004580769
2012,1,8,22,0.978135624
2012,1,8,23,0.923738965
2012,1,8,24,0.861140963
2012,1,9,1,0.827498721
2012,1,9,2,0.814778271
2012,1,9,3,0.814108774
2012,1,9,4,0.826661849
2012,1,9,5,0.86181046
2012,1,9,6,0.944326008
2012,1,9,7,1.070024135
2012,1,9,8,1.113876211
2012,1,9,9,1.087096317
2012,1,9,10,1.067848269
2012,1,9,11,1.048934969
2012,1,9,12,1.022322449
2012,1,9,13,0.995207806
2012,1,9,14,0.966754169
2012,1,9,15,0.941648019
2012,1,9,16,0.930601312
2012,1,9,17,0.936794163
2012,1,9,18,0.985332721
2012,1,9,19,1.068517766
2012,1,9,20,1.075380114
2012,1,9,21,1.057805808
2012,1,9,22,1.011443117
2012,1,9,23,0.932777179
2012,1,9,24,0.851433251
2012,1,10,1,0.800384078
2012,1,10,2,0.777955917
2012,1,10,3,0.769587201
2012,1,10,4,0.776449548
2012,1,10,5,0.803564191
2012,1,10,6,0.887586108
2012,1,10,7,1.028850048
2012,1,10,8,1.068350392
2012,1,10,9,1.031193289
2012,1,10,10,1.00809563
2012,1,10,11,0.986169592
2012,1,10,12,0.955707463
2012,1,10,13,0.926919077
2012,1,10,14,0.900306558
2012,1,10,15,0.879217391
2012,1,10,16,0.871518172
2012,1,10,17,0.880389011
2012,1,10,18,0.929429692
2012,1,10,19,1.026004684
2012,1,10,20,1.042072621
2012,1,10,21,1.034875524
2012,1,10,22,0.997048924
2012,1,10,23,0.926584328
2012,1,10,24,0.853106995
2012,1,11,1,0.808752795
2012,1,11,2,0.792852233
2012,1,11,3,0.791345864
2012,1,11,4,0.801388325
2012,1,11,5,0.836536935
2012,1,11,6,0.924743211
2012,1,11,7,1.073204247
2012,1,11,8,1.111532971
2012,1,11,9,1.05747106
2012,1,11,10,1.01964446
2012,1,11,11,0.988680207
2012,1,11,12,0.958050704
2012,1,11,13,0.932777179
2012,1,11,14,0.913194381
2012,1,11,15,0.897461194
2012,1,11,16,0.890598846
2012,1,11,17,0.899971809
2012,1,11,18,0.941815393
2012,1,11,19,1.023326695
2012,1,11,20,1.032532284
2012,1,11,21,1.019309711
2012,1,11,22,0.97913987
2012,1,11,23,0.90465829
2012,1,11,24,0.828000844
2012,1,12,1,0.779629661
2012,1,12,2,0.763059601
2012,1,12,3,0.760381612
2012,1,12,4,0.770926195
2012,1,12,5,0.805572683
2012,1,12,6,0.897126445
2012,1,12,7,1.04977184
2012,1,12,8,1.095465034
2012,1,12,9,1.055462568
2012,1,12,10,1.032364909
2012,1,12,11,1.017970716
2012,1,12,12,0.999726914
2012,1,12,13,0.980144116
2012,1,12,14,0.963908806
